BinCenter,CallCount,MeanFreq_kHz,SDFreq_kHz
21-Oct-2025 15:01:55,1,7.82150101419878,0
21-Oct-2025 15:11:55,1,9.55578093306288,0
21-Oct-2025 15:21:55,0,NaN,NaN
21-Oct-2025 15:31:55,0,NaN,NaN
21-Oct-2025 15:41:55,0,NaN,NaN
21-Oct-2025 15:51:55,0,NaN,NaN
21-Oct-2025 16:01:55,0,NaN,NaN
21-Oct-2025 16:11:55,0,NaN,NaN
21-Oct-2025 16:21:55,0,NaN,NaN
21-Oct-2025 16:31:55,0,NaN,NaN
21-Oct-2025 16:41:55,0,NaN,NaN
21-Oct-2025 16:51:55,0,NaN,NaN
21-Oct-2025 17:01:55,2,7.66592489525488,4.04566117186296
21-Oct-2025 17:11:55,7,10.5362521139038,0.58454494780595
21-Oct-2025 17:21:55,3,10.2595680586142,0.459970708808314
21-Oct-2025 17:31:55,5,10.3323529411765,0.872465615683679
21-Oct-2025 17:41:55,6,10.4276960784314,0.379471767626238
21-Oct-2025 17:51:55,2,7.89858012170386,0.572283175848746
21-Oct-2025 18:01:55,4,8.12736118154158,1.79992197984697
21-Oct-2025 18:11:55,4,8.73199797160244,1.94533304822969
21-Oct-2025 18:21:55,10,9.55289046653144,1.0802734804445
21-Oct-2025 18:31:55,2,9.97489858012171,0.660850810206293
21-Oct-2025 18:41:55,7,9.95213700234192,1.23911161747899
21-Oct-2025 18:51:55,6,10.1820355191257,0.656788881672896
